X,Y,Z,SPEED,ANGLE_CAM,ANGLE_BEETLE,TIME,ACCELERATION,MAP_ANGLE
164.85786,301.97247,-49.918365,169.0,0.0,0.0,1.233,0.0,0.0
164.85786,301.97247,-49.918365,169.0,0.0,0.0,1.266,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.298,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.331,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.363,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.395,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.427,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.459,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.492,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.567,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.599,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.632,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.664,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.697,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.729,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.759,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.793,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.824,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.856,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.888,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.92,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.952,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,1.984,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,2.016,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,2.048,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,2.081,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,2.113,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,2.145,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,2.177,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,2.21,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,2.242,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,3.002,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,3.033,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,3.065,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,3.097,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,3.13,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,3.162,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,3.193,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,3.225,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,3.258,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,3.29,0.0,0.0
164.85786,301.97247,-49.918365,0.0,0.0,0.0,3.322,0.0,0.0
