X,Y,Z,SPEED,ANGLE_CAM,ANGLE_BEETLE,TIME,ACCELERATION,MAP_ANGLE
-165.87708,44.435017,-586.7835,306.0,0.0,0.0,1200.0,0.0,0.0
-165.87708,44.435017,-586.7835,306.0,0.0,0.0,1231.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1263.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1295.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1326.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1358.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1389.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1421.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1452.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1484.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1516.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1547.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1606.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1638.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1670.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1701.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1733.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1764.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1796.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1827.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1859.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1890.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1922.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1953.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,1985.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,2016.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,2048.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,2079.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,2111.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,2142.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,2904.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,2935.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,2967.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,2999.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3030.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3062.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3094.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3125.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3157.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3188.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3220.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3252.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3283.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3315.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3346.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3378.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3410.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3441.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3473.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3505.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3536.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3568.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3600.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3631.0,0.0,0.0
-165.87708,44.435017,-586.7835,0.0,0.0,0.0,3663.0,0.0,0.0
